CTDPRS	Latitude	Depth (m)
1009.3	-14.0002	1001.0122604231839
708.3	-14.0002	702.9895846834698
256.5	-14.0002	254.85381781889149
204.7	-14.0002	203.4117240873458
157.2	-14.0002	156.2286115722617
104.2	-14.0002	103.56940199271178
42.8	-14.0002	42.547312291684605
23.6	-14.0001	23.461759855085656
504.9	-10	501.43445841956947
252.6	-10	251.01881208483996
203.3	-10	202.05148427240633
153.8	-10	152.87377798554536
103.7	-10	103.08799454767133
36.7	-10	36.48933163629887
22	-10	21.87449351144425
1010.1	-6	1002.0555482543883
506.3	-6.0001	502.8741940671099
256.6	-6	255.01719331412394
207.5	-6	206.24453048738135
157.2	-6	156.2678778633139
103.9	-6	103.29724878769154
36.8	-6	36.592462876866755
20.9	-6	20.78293374820261
1009.3	-0.997	1001.3199758578103
506.2	-0.996	502.80318910208416
252.4	-0.9957	250.85971395516196
205.3	-0.9956	204.07037143791337
154.1	-0.9954	153.19600011175027
103	-0.9953	102.4084365379458
38.2	-0.995	37.98656897549493
23.6	-0.995	23.46897294258049
958.7	0.5002	951.2360037086532
554.9	0.5001	551.1125183125256
276.5	0.5002	274.7969744937863
229.2	0.5002	227.81433456300218
182.7	0.5001	181.6158736348633
113.9	0.5002	113.24297982286565
43.8	0.5002	43.554741127862165
26.2	0.5002	26.05440446982867
1007.9	3.9999	999.9103006707297
504.7	3.9999	501.30298735320275
254.6	3.9999	253.038847591621
202.8	3.9999	201.5817070321023
152.9	3.9999	151.99981906256207
37.6	3.9999	37.389074843619206
22.4	3.9999	22.275163468492543
962.2	10.0002	954.5492126654029
504.8	10.0002	501.3352622257905
408.9	10.0002	406.18723908369384
254.8	10.0002	253.20369364211527
159	10.0002	158.04047279917646
107.3	10.0002	106.66581783970753
41.4	10.0002	41.161883002157005
22	10.0002	21.874493373569955
959.3	13.9987	951.5363849566332
556.8	13.9987	552.8264495170048
278.9	13.9987	277.09508541331525
227.6	13.9987	226.15509939101076
175.9	13.9987	174.80516153119373
109	13.9987	108.33910101577159
42	13.9987	41.752119112727726
20.8	13.9988	20.678302806591137
275.2	18	273.3680959535915
221.2	18	219.75621987476558
179.1	18	177.94912033163112
143.6	18	142.68949480747563
114.1	18	113.38463818282769
47.1	18	46.81229975366972
24.4	18	24.25229260148195
553.6	24.9995	549.3050689547325
228.7	24.9995	227.10344692127273
177.4	24.9995	176.1834214119627
106.4	24.9995	105.68848608368985
40.2	24.9995	39.937581676785804
19.9	24.9995	19.77106957049641
959.1	28.9939	950.45244900513
553.5	28.993	549.0425576991572
278.5	28.992	276.44026609261476
226.3	28.9919	224.65465449541605
179.3	28.9919	178.01660081894426
107.2	28.9917	106.45125476819611
40.2	28.9916	39.925701734420706
21	28.9915	20.857681025056415
960.2	32.9997	951.2300141822561
557.4	32.9997	552.7257805175138
278.1	32.9997	275.9535061400249
227.3	32.9997	225.57327984152238
178.8	32.9997	177.46252413983976
108.8	32.9997	108.00443882105432
43.4	32.9997	43.08948002481384
21.7	32.9997	21.54587359671628
1008.7	39	998.6365023780161
505.9	39	501.4562060234005
254.9	39	252.81386840823012
203.3	39	201.66131180526605
104.7	39	103.88085085546334
38.3	39	38.0064635470876
24.9	39	24.70996578584867
1013.6	45.0022	1002.9243343407779
505.3	45.0022	500.5868857800801
254.2	45.0021	251.98143697043554
205.3	45.0022	203.532263671283
155.7	45.0021	154.37786266092897
105.3	45.0022	104.41857398754962
37.5	45.0022	37.19221094797862
22.9	45.0022	22.71284748208
959.6	50.9998	949.0936422074838
555	50.9998	549.4555604093529
278.6	50.9998	276.00046978986455
227.4	50.9998	225.30606149439555
178.3	50.9998	176.6791521140487
108.5	50.9998	107.53183466359651
42.1	50.9998	41.7310464942694
22.5	50.9998	22.303875654120677
441	-18	437.8893293584166
219.5	-18	218.06821183367188
90.5	-18	89.93774110723601
54.8	-18	54.46424939734585
34.8	-18	34.58846307222218
20.2	-18	20.07792215082793
169.9	-18	168.81199525589636
120.3	-18	119.54397208504012
427.4	-67.5007	422.70139324897593
326.6	-67.5007	323.088013284992
225.7	-67.5007	223.3274028223393
124.9	-67.5007	123.61716037559867
94.8	-67.5007	93.83315326188989
59.5	-67.5007	58.898207362020365
39.4	-67.5007	39.0034019803514
2	-67.5007	1.9800476761622614
486.8	-23	483.16707094002453
236.7	-23	235.07524702995082
106	-23	105.30568394871246
85.2	-23	84.64619139993958
64.4	-23	63.98461806061497
39.5	-23	39.24759251941161
14.3	-23	14.209490391094015
134.9	-23	134.00700800232448
486.2	-32	482.24568174806063
234.7	-32	232.93236199294313
104.9	-32	104.14264118287882
87	-32	86.37562052087756
66.8	-32	66.32383720439752
36.5	-32	36.24248284518523
20.8	-32	20.6540367620786
136	-32	135.00793943515202
471.5	-39	467.39705196317783
264.6	-39	262.42833451480413
169.8	-39	168.4449816177977
69.6	-39	69.06133682167162
55.1	-39	54.675479472265266
19.3	-39	19.15296449789051
90.7	-39	89.9934349457698
223.4	-39	221.58853120799168
504.8	-50.4993	499.8400028267047
403.9	-50.4993	400.02855456252854
304.1	-50.4993	301.2576367167496
203.9	-50.4993	202.04307695541155
153.5	-50.4993	152.12061144453656
103.8	-50.4993	102.87960309199471
53.5	-50.4993	53.03207602027663
5.4	-50.4993	5.353394573529441
457.1	-53.4995	452.53903000573007
357.6	-53.4995	354.11671352011655
258.6	-53.4995	256.142227938683
154.5	-53.4995	153.07012168836013
105.1	-53.4995	104.13976341515355
87.3	-53.4995	86.50612046599865
55.1	-53.4995	54.6031970841673
7.2	-53.4995	7.135910671337848
444.6	-57.5007	440.025294363068
343.5	-57.5007	340.0483844890472
237.6	-57.5007	235.27263721162976
137.3	-57.5007	135.98808142934658
112.3	-57.5007	111.23369047151756
86.8	-57.5007	85.98112695327572
71.8	-57.5007	71.12522165746235
4.6	-57.5007	4.557511440334354
493.7	-60	488.46234817124537
390.9	-60	386.8486770980346
291.1	-60	288.1523562962742
185.6	-60	183.76746730360074
135.3	-60	133.98040880241558
84.4	-60	83.58714067032743
40	-60	39.61902083853137
3.6	-60	3.5660266070230393
478.7	-63.499	473.51099285207437
291.9	-63.499	288.8658654638283
166.1	-63.499	164.42345466674152
135.9	-63.499	134.5381108840797
90.6	-63.499	89.70191096567756
65.3	-63.499	64.65666435143896
40	-63.499	39.608348440403596
2.3	-63.499	2.277688239163743
